version,2.1.0
info,balls_per_over,6
info,team,Surrey
info,team,Glamorgan
info,gender,male
info,season,2015
info,date,2015/06/26
info,event,NatWest T20 Blast
info,venue,Sophia Gardens
info,city,Cardiff
info,toss_winner,Glamorgan
info,toss_decision,field
info,player_of_match,JJ Roy
info,umpire,MJD Bodenham
info,umpire,JH Evans
info,winner,Surrey
info,winner_runs,19
info,player,Surrey,JJ Roy
info,player,Surrey,D Elgar
info,player,Surrey,GC Wilson
info,player,Surrey,VS Solanki
info,player,Surrey,BT Foakes
info,player,Surrey,Azhar Mahmood
info,player,Surrey,JE Burke
info,player,Surrey,SM Curran
info,player,Surrey,GJ Batty
info,player,Surrey,TE Linley
info,player,Surrey,MP Dunn
info,player,Glamorgan,CAJ Meschede
info,player,Glamorgan,JA Rudolph
info,player,Glamorgan,CA Ingram
info,player,Glamorgan,CB Cooke
info,player,Glamorgan,GG Wagg
info,player,Glamorgan,DL Lloyd
info,player,Glamorgan,MA Wallace
info,player,Glamorgan,WD Parnell
info,player,Glamorgan,AG Salter
info,player,Glamorgan,DA Cosker
info,player,Glamorgan,MG Hogan
info,registry,people,AG Salter,1a45b864
info,registry,people,Azhar Mahmood,9a158001
info,registry,people,BT Foakes,fd770945
info,registry,people,CA Ingram,c995d726
info,registry,people,CAJ Meschede,eddf25bd
info,registry,people,CB Cooke,6755cd5c
info,registry,people,D Elgar,33085ffb
info,registry,people,DA Cosker,aac9f784
info,registry,people,DL Lloyd,0c7f11be
info,registry,people,GC Wilson,05de1a5a
info,registry,people,GG Wagg,450f6fa6
info,registry,people,GJ Batty,5ac8f17b
info,registry,people,JA Rudolph,42537f07
info,registry,people,JE Burke,ce24059d
info,registry,people,JH Evans,f444fdac
info,registry,people,JJ Roy,d1c36f5c
info,registry,people,MA Wallace,cabf72cc
info,registry,people,MG Hogan,5da34add
info,registry,people,MJD Bodenham,c40d37a3
info,registry,people,MP Dunn,57a76baa
info,registry,people,SM Curran,e94915e6
info,registry,people,TE Linley,1a88bdd3
info,registry,people,VS Solanki,7ee2ce62
info,registry,people,WD Parnell,3a60e0b5
