version,2.2.0
info,balls_per_over,6
info,team,Titans
info,team,Dolphins
info,gender,male
info,season,2015/16
info,date,2015/11/18
info,event,Ram Slam T20 Challenge
info,venue,"Kingsmead, Durban"
info,city,Durban
info,toss_winner,Dolphins
info,toss_decision,field
info,player_of_match,Q de Kock
info,player_of_match,CH Morris
info,umpire,BM White
info,umpire,S George
info,reserve_umpire,LB Gcuma
info,tv_umpire,DJ Smith
info,match_referee,S Wadvalla
info,winner,Titans
info,winner_runs,66
info,player,Titans,Q de Kock
info,player,Titans,H Davids
info,player,Titans,M Mosehle
info,player,Titans,F Behardien
info,player,Titans,JA Morkel
info,player,Titans,D Wiese
info,player,Titans,CH Morris
info,player,Titans,GL van Buuren
info,player,Titans,SF Mofokeng
info,player,Titans,CJ Dala
info,player,Titans,T Shamsi
info,player,Dolphins,VB van Jaarsveld
info,player,Dolphins,MN van Wyk
info,player,Dolphins,K Zondo
info,player,Dolphins,C Chetty
info,player,Dolphins,DA Miller
info,player,Dolphins,DJ Bravo
info,player,Dolphins,R McLaren
info,player,Dolphins,AL Phehlukwayo
info,player,Dolphins,KA Maharaj
info,player,Dolphins,CJ Alexander
info,player,Dolphins,A Myoli
info,registry,people,A Myoli,c50bfbc2
info,registry,people,AL Phehlukwayo,ab6b1c45
info,registry,people,BM White,66c21d35
info,registry,people,C Chetty,27ca3a11
info,registry,people,CH Morris,fb66ce1f
info,registry,people,CJ Alexander,26d9937d
info,registry,people,CJ Dala,1cb14aa4
info,registry,people,D Wiese,aa8d28ae
info,registry,people,DA Miller,d67d5f00
info,registry,people,DJ Bravo,87e562a9
info,registry,people,DJ Smith,d17bec15
info,registry,people,F Behardien,dce2019b
info,registry,people,GL van Buuren,ba377b40
info,registry,people,H Davids,9c9f8dbc
info,registry,people,JA Morkel,c3d35165
info,registry,people,K Zondo,4aad78d3
info,registry,people,KA Maharaj,0b60eb09
info,registry,people,LB Gcuma,02ba88e3
info,registry,people,M Mosehle,8836fcac
info,registry,people,MN van Wyk,710dd98c
info,registry,people,Q de Kock,372455c4
info,registry,people,R McLaren,c654af19
info,registry,people,S George,6d9e5a54
info,registry,people,S Wadvalla,c1a1acf3
info,registry,people,SF Mofokeng,21fdde93
info,registry,people,T Shamsi,a03bba42
info,registry,people,VB van Jaarsveld,890b877d
