version,2.1.0
info,balls_per_over,6
info,team,Hobart Hurricanes
info,team,Brisbane Heat
info,gender,male
info,season,2015/16
info,date,2015/12/22
info,event,Big Bash League
info,match_number,7
info,venue,Bellerive Oval
info,city,Hobart
info,toss_winner,Hobart Hurricanes
info,toss_decision,bat
info,player_of_match,TD Paine
info,umpire,GJ Davidson
info,umpire,MW Graham-Smith
info,reserve_umpire,H Wolff
info,tv_umpire,PJ Gillespie
info,match_referee,SR Bernard
info,winner,Hobart Hurricanes
info,winner_runs,20
info,player,Brisbane Heat,JJ Peirson
info,player,Brisbane Heat,LMP Simmons
info,player,Brisbane Heat,JS Floros
info,player,Brisbane Heat,PJ Forrest
info,player,Brisbane Heat,CA Lynn
info,player,Brisbane Heat,NJ Reardon
info,player,Brisbane Heat,BCJ Cutting
info,player,Brisbane Heat,JR Hopes
info,player,Brisbane Heat,JK Lalor
info,player,Brisbane Heat,S Badree
info,player,Brisbane Heat,AL Fekete
info,player,Hobart Hurricanes,BR Dunk
info,player,Hobart Hurricanes,TD Paine
info,player,Hobart Hurricanes,KC Sangakkara
info,player,Hobart Hurricanes,GJ Bailey
info,player,Hobart Hurricanes,DT Christian
info,player,Hobart Hurricanes,JW Wells
info,player,Hobart Hurricanes,DJG Sammy
info,player,Hobart Hurricanes,CA Rose
info,player,Hobart Hurricanes,CJ Boyce
info,player,Hobart Hurricanes,SL Rainbird
info,player,Hobart Hurricanes,SW Tait
info,registry,people,AL Fekete,029c4618
info,registry,people,BCJ Cutting,2e11c706
info,registry,people,BR Dunk,272d796e
info,registry,people,CA Lynn,45eda7c8
info,registry,people,CA Rose,7517d134
info,registry,people,CJ Boyce,51a60c16
info,registry,people,DJG Sammy,c03c6200
info,registry,people,DT Christian,2a2e6343
info,registry,people,GJ Bailey,5056011d
info,registry,people,GJ Davidson,31ad5973
info,registry,people,H Wolff,e44c17f1
info,registry,people,JJ Peirson,2b55c3b4
info,registry,people,JK Lalor,88209c84
info,registry,people,JR Hopes,2498e163
info,registry,people,JS Floros,79765f6f
info,registry,people,JW Wells,8bdac857
info,registry,people,KC Sangakkara,6b71e6cf
info,registry,people,LMP Simmons,89f64c19
info,registry,people,MW Graham-Smith,18aca3ce
info,registry,people,NJ Reardon,c7bdb5b5
info,registry,people,PJ Forrest,56c205b7
info,registry,people,PJ Gillespie,3e253a50
info,registry,people,S Badree,76388dc8
info,registry,people,SL Rainbird,e7dd5eca
info,registry,people,SR Bernard,800187dc
info,registry,people,SW Tait,addfb70e
info,registry,people,TD Paine,5748e866
