version,2.2.0
info,balls_per_over,6
info,team,Warwickshire
info,team,Somerset
info,gender,male
info,season,2016
info,date,2016/08/29
info,event,Royal London One-Day Cup
info,venue,"Edgbaston, Birmingham"
info,city,Birmingham
info,toss_winner,Warwickshire
info,toss_decision,bat
info,player_of_match,JS Patel
info,umpire,DJ Millns
info,umpire,RJ Bailey
info,tv_umpire,AG Wharf
info,winner,Warwickshire
info,winner_runs,8
info,player,Warwickshire,IJL Trott
info,player,Warwickshire,SR Hain
info,player,Warwickshire,IR Bell
info,player,Warwickshire,TR Ambrose
info,player,Warwickshire,LJ Evans
info,player,Warwickshire,R Clarke
info,player,Warwickshire,A Javid
info,player,Warwickshire,JS Patel
info,player,Warwickshire,CJC Wright
info,player,Warwickshire,OJ Hannon-Dalby
info,player,Warwickshire,JE Poysden
info,player,Somerset,JG Myburgh
info,player,Somerset,J Allenby
info,player,Somerset,PD Trego
info,player,Somerset,TB Abell
info,player,Somerset,JC Hildreth
info,player,Somerset,L Gregory
info,player,Somerset,RE van der Merwe
info,player,Somerset,C Overton
info,player,Somerset,RC Davies
info,player,Somerset,TD Groenewald
info,player,Somerset,MTC Waller
info,registry,people,A Javid,8d1dad51
info,registry,people,AG Wharf,2e0fcc58
info,registry,people,AJ Mellor,170f716c
info,registry,people,C Overton,e9987a94
info,registry,people,CJC Wright,6c908ffc
info,registry,people,DJ Millns,46ecfe40
info,registry,people,IJL Trott,ac7fa28f
info,registry,people,IR Bell,33155d1b
info,registry,people,J Allenby,7d5e0b78
info,registry,people,JC Hildreth,782c0568
info,registry,people,JE Poysden,bbbb7f1e
info,registry,people,JG Myburgh,47b4ad09
info,registry,people,JS Patel,f5821615
info,registry,people,L Gregory,06c2de82
info,registry,people,LJ Evans,1c513d54
info,registry,people,MTC Waller,d74d1090
info,registry,people,OJ Hannon-Dalby,e0ac7144
info,registry,people,PD Trego,93e06301
info,registry,people,R Clarke,8728a058
info,registry,people,RC Davies,f939ffa9
info,registry,people,RE van der Merwe,05c2ca46
info,registry,people,RJ Bailey,6bd04fa5
info,registry,people,SR Hain,67b9536c
info,registry,people,TB Abell,ba9258a7
info,registry,people,TD Groenewald,dddc811c
info,registry,people,TR Ambrose,a15aaa7f
