version,2.1.0
info,balls_per_over,6
info,team,England
info,team,West Indies
info,gender,male
info,season,2015/16
info,date,2016/03/16
info,event,World T20
info,match_number,15
info,venue,Wankhede Stadium
info,city,Mumbai
info,toss_winner,West Indies
info,toss_decision,field
info,player_of_match,CH Gayle
info,umpire,CB Gaffaney
info,umpire,RJ Tucker
info,reserve_umpire,S Ravi
info,tv_umpire,PR Reiffel
info,match_referee,DC Boon
info,winner,West Indies
info,winner_wickets,6
info,player,England,JJ Roy
info,player,England,AD Hales
info,player,England,JE Root
info,player,England,JC Buttler
info,player,England,EJG Morgan
info,player,England,BA Stokes
info,player,England,MM Ali
info,player,England,CJ Jordan
info,player,England,AU Rashid
info,player,England,DJ Willey
info,player,England,RJW Topley
info,player,West Indies,J Charles
info,player,West Indies,CH Gayle
info,player,West Indies,MN Samuels
info,player,West Indies,D Ramdin
info,player,West Indies,DJ Bravo
info,player,West Indies,AD Russell
info,player,West Indies,DJG Sammy
info,player,West Indies,CR Brathwaite
info,player,West Indies,S Badree
info,player,West Indies,JE Taylor
info,player,West Indies,SJ Benn
info,registry,people,AD Hales,92aeac25
info,registry,people,AD Russell,bbd41817
info,registry,people,AU Rashid,249d60c9
info,registry,people,BA Stokes,e087956b
info,registry,people,CB Gaffaney,d5ac41d8
info,registry,people,CH Gayle,db584dad
info,registry,people,CJ Jordan,ffe699c0
info,registry,people,CR Brathwaite,e342e5fb
info,registry,people,D Ramdin,d1523761
info,registry,people,DC Boon,e79a1fe3
info,registry,people,DJ Bravo,87e562a9
info,registry,people,DJ Willey,7f048519
info,registry,people,DJG Sammy,c03c6200
info,registry,people,EJG Morgan,d2a6c0e6
info,registry,people,J Charles,09a9d073
info,registry,people,JC Buttler,99b75528
info,registry,people,JE Root,a343262c
info,registry,people,JE Taylor,4180d897
info,registry,people,JJ Roy,d1c36f5c
info,registry,people,JO Holder,0f721006
info,registry,people,MM Ali,bb351c23
info,registry,people,MN Samuels,f846de6a
info,registry,people,PR Reiffel,c9354f29
info,registry,people,RJ Tucker,38810cfc
info,registry,people,RJW Topley,8db7f47f
info,registry,people,S Badree,76388dc8
info,registry,people,S Ravi,9b9ee0df
info,registry,people,SJ Benn,364ee2cf
