Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,Minutes_Batted,4s,6s,Strike_Rate,Innings
Cameron Bancroft,501011,c †de Kock b Philander,38,91,117,6,0,41.76,0
David Warner,219889, b Ngidi,63,100,156,9,0,63.0,0
Usman Khawaja,215155,c †de Kock b Philander,4,15,14,0,0,26.67,0
Steven Smith (c),267192,lbw b Rabada,25,58,93,3,0,43.1,0
Shaun Marsh,6683,lbw b Rabada,24,52,76,4,0,46.15,0
Tim Paine †,7252, b Ngidi,36,68,99,5,0,52.94,0
Mitchell Marsh,272450,c †de Kock b Rabada,4,3,3,1,0,133.33,0
Pat Cummins,489889,c †de Kock b Rabada,0,1,1,0,0,0.0,0
Mitchell Starc,311592, b Rabada,8,11,18,1,0,72.73,0
Nathan Lyon,272279, b Ngidi,17,20,27,4,0,85.0,0
Josh Hazlewood,288284,not out ,10,10,39,2,0,100.0,0
Dean Elgar,230852,c †Paine b Hazlewood,57,197,306,6,0,28.93,1
Aiden Markram,600498,lbw b Cummins,11,21,33,1,0,52.38,1
Kagiso Rabada,550215, b Cummins,29,40,58,6,0,72.5,1
Hashim Amla,43906, b Starc,56,148,203,6,0,37.84,1
AB de Villiers,44936,not out ,126,146,261,20,1,86.3,1
Faf du Plessis (c),44828,lbw b MR Marsh,9,16,40,1,0,56.25,1
Theunis de Bruyn,486672,lbw b MR Marsh,1,8,10,0,0,12.5,1
Quinton de Kock †,379143, b Lyon,9,20,31,0,0,45.0,1
Vernon Philander,46945,c Bancroft b Cummins,36,85,104,5,0,42.35,1
Keshav Maharaj,267724, b Hazlewood,30,24,38,3,2,125.0,1
Lungi Ngidi,542023,run out (Smith),5,7,15,1,0,71.43,1
Cameron Bancroft,501011, b Ngidi,24,70,97,2,0,34.29,2
David Warner,219889, b Rabada,13,21,43,3,0,61.9,2
Usman Khawaja,215155,lbw b Rabada,75,136,225,14,0,55.15,2
Steven Smith (c),267192,c †de Kock b Maharaj,11,18,20,1,1,61.11,2
Shaun Marsh,6683,c †de Kock b Rabada,1,5,12,0,0,20.0,2
Mitchell Marsh,272450, b Rabada,45,125,155,4,1,36.0,2
Tim Paine †,7252,not out ,28,50,92,2,0,56.0,2
Pat Cummins,489889,c de Bruyn b Rabada,5,14,17,1,0,35.71,2
Mitchell Starc,311592,c †de Kock b Rabada,1,10,11,0,0,10.0,2
Nathan Lyon,272279,c †de Kock b Ngidi,5,8,14,1,0,62.5,2
Josh Hazlewood,288284,c Ngidi b Maharaj,17,17,32,2,1,100.0,2
Aiden Markram,600498,c Smith b Hazlewood,21,28,37,3,0,75.0,3
Dean Elgar,230852,c & b Lyon,5,17,24,0,0,29.41,3
Hashim Amla,43906,c †Paine b Cummins,27,42,54,3,0,64.29,3
AB de Villiers,44936,c Bancroft b Lyon,28,26,44,4,1,107.69,3
Faf du Plessis (c),44828,not out ,2,10,19,0,0,20.0,3
Theunis de Bruyn,486672,not out ,15,14,15,2,0,107.14,3
