Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,4s,6s,Strike_Rate,Innings
Jason Roy,298438,c Finch b Bravo,5,13,0,0,38.46,0
Peter Nevill †,6973,c †Ludeman b Mohammad Nabi,0,1,0,0,0.0,0
Nic Maddinson,333780,run out (Bravo),24,28,1,0,85.71,0
Jordan Silk,437669,c White b Hogg,16,18,1,0,88.89,0
Sam Billings,297628,c White b Bravo,22,26,2,0,84.62,0
Sean Abbott,398666,c Bravo b Wildermuth,6,5,1,0,120.0,0
Daniel Sams,826901,c Cooper b Mohammad Nabi,1,2,0,0,50.0,0
Johan Botha (c),44149,not out ,32,23,3,1,139.13,0
Ben Dwarshuis,679567,c Richardson b Bravo,3,4,0,0,75.0,0
Mickey Edwards,641419,not out ,0,0,0,0,,0
Marcus Harris,434813, b Dwarshuis,1,4,0,0,25.0,1
Aaron Finch (c),5334,run out (Roy),51,38,6,2,134.21,1
Cameron White,8291,not out ,49,44,5,1,111.36,1
Dwayne Bravo,51439,not out ,6,7,1,0,85.71,1
