Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,WD,NB,Innings
Taskin Ahmed,538506,25,2,127,1,5.08,1,1,0
Kamrul Islam,375724,19,1,100,0,5.26,0,1,0
Soumya Sarkar,436677,1,0,4,0,4.00,0,0,0
Mehidy Hasan Miraz,629063,42,0,165,2,3.92,0,0,0
Shakib Al Hasan,56143,24,4,104,0,4.33,0,0,0
Taijul Islam,401057,47,6,156,3,3.31,0,0,0
Sabbir Rahman,373538,3,0,10,0,3.33,0,0,0
Mahmudullah,56025,5,0,16,0,3.20,0,0,0
Bhuvneshwar Kumar,326016,21,7,52,1,2.47,0,0,1
Ishant Sharma,236779,20,5,69,1,3.45,0,0,1
Ravichandran Ashwin,26421,28.5,7,98,2,3.39,0,0,1
Umesh Yadav,376116,25,6,84,3,3.36,0,0,1
Ravindra Jadeja,234675,33,8,70,2,2.12,0,0,1
Taijul Islam,401057,6,1,29,0,4.83,0,0,2
Taskin Ahmed,538506,7,0,43,2,6.14,1,0,2
Shakib Al Hasan,56143,9,0,50,2,5.55,0,0,2
Mehidy Hasan Miraz,629063,7,0,32,0,4.57,0,0,2
Bhuvneshwar Kumar,326016,8,4,15,0,1.87,0,0,3
Ravichandran Ashwin,26421,30.3,10,73,4,2.39,0,0,3
Ishant Sharma,236779,13,3,40,2,3.07,0,3,3
Umesh Yadav,376116,12,2,33,0,2.75,0,0,3
Ravindra Jadeja,234675,37,15,78,4,2.10,0,0,3
