Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,0s,4s,6s,WD,NB,Innings
Ankit Rajpoot,591650,3,0,32,0,10.66,6,4,1,2,0,0
Mujeeb Ur Rahman,974109,4,0,32,1,8.00,9,5,0,1,0,0
Barinder Sran,537126,4,0,50,2,12.50,7,5,3,2,0,0
Andrew Tye,459508,4,0,30,2,7.50,9,2,1,1,1,0
Ravichandran Ashwin,26421,4,0,33,1,8.25,5,3,0,1,0,0
Yuvraj Singh,36084,1,0,13,0,13.00,0,2,0,0,0,0
Shivam Mavi,1079848,3,0,29,0,9.66,8,4,1,2,0,1
Andre Russell,276298,1.5,0,31,0,16.90,2,4,2,0,0,1
Nitish Rana,604527,0.1,0,0,0,0.00,1,0,0,0,0,1
Sunil Narine,230558,3,0,23,1,7.66,9,3,1,0,0,1
Piyush Chawla,32966,2,0,24,0,12.00,4,2,2,0,0,1
Kuldeep Yadav,559235,1,0,13,0,13.00,1,1,1,0,0,1
Tom Curran,550235,0.1,0,6,0,36.00,0,0,1,0,0,1
