Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,Minutes_Batted,4s,6s,Strike_Rate,Innings
Jason Roy,298438, b Jadeja,65,56,84,10,1,116.07,0
Sam Billings,297628,c Bumrah b Jadeja,35,58,76,5,0,60.34,0
Jonny Bairstow,297433,c Jadeja b Pandya,56,64,99,5,1,87.5,0
Eoin Morgan (c),24598,c Bumrah b Pandya,43,44,56,2,3,97.73,0
Jos Buttler †,308967,c Rahul b Pandya,11,15,19,1,0,73.33,0
Ben Stokes,311158,not out ,57,39,60,4,2,146.15,0
Moeen Ali,8917,c Jadeja b Bumrah,2,5,7,0,0,40.0,0
Chris Woakes,247235,run out (Kumar/†Dhoni),34,19,35,4,1,178.95,0
Liam Plunkett,19264,run out (sub [MK Pandey]/†Dhoni),1,1,1,0,0,100.0,0
Ajinkya Rahane,277916, b Willey,1,6,8,0,0,16.67,1
KL Rahul,422108,c †Buttler b Ball,11,11,28,1,1,100.0,1
Virat Kohli (c),253802,c †Buttler b Stokes,55,63,81,8,0,87.3,1
Yuvraj Singh,36084,c Billings b Plunkett,45,57,82,5,1,78.95,1
MS Dhoni †,28081,c †Buttler b Ball,25,36,45,1,1,69.44,1
Kedar Jadhav,290716,c Billings b Woakes,90,75,118,12,1,120.0,1
Hardik Pandya,625371, b Stokes,56,43,67,4,2,130.23,1
Ravindra Jadeja,234675,c Bairstow b Woakes,10,6,8,2,0,166.67,1
Ravichandran Ashwin,26421,c Woakes b Stokes,1,3,5,0,0,33.33,1
Bhuvneshwar Kumar,326016,not out ,0,1,13,0,0,0.0,1
Jasprit Bumrah,625383,not out ,0,0,2,0,0,,1
