Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,4s,6s,Strike_Rate,Innings
Josh Philippe †,1124282,c Harris b Boyce,52,31,7,1,167.74,0
Daniel Hughes,571761,c Cooper b Boyce,52,32,4,2,162.5,0
James Vince,296597,c Finch b Gurney,28,24,4,0,116.67,0
Moises Henriques (c),5961,not out ,28,27,2,0,103.7,0
Jordan Silk,437669,not out ,17,7,1,1,242.86,0
Marcus Harris,434813, b O'Keefe,4,4,1,0,100.0,1
Aaron Finch (c),5334, b O'Keefe,44,41,4,0,107.32,1
Sam Harper †,772361,c †Philippe b Dwarshuis,36,17,3,3,211.76,1
Cameron White,8291, b Abbott,29,17,4,1,170.59,1
Mackenzie Harvey,1076382,c J Edwards b Henriques,2,3,0,0,66.67,1
Tom Cooper,219885,c Abbott b MW Edwards,14,10,2,0,140.0,1
Dan Christian,4864,not out ,31,14,0,3,221.43,1
Cameron Boyce,326625,hit wicket b Dwarshuis,11,10,1,0,110.0,1
Kane Richardson,272262,not out ,9,3,2,0,300.0,1
