Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,WD,NB,Innings
Naveen-ul-Haq,793447,4,0,21,3,5.25,1,0,0
Mujeeb Ur Rahman,974109,4,0,32,1,8.00,0,0,0
Karim Janat,793467,2,0,17,0,8.50,1,0,0
Qais Ahmad,914171,4,0,25,3,6.25,0,0,0
Rashid Khan,793463,4,0,24,1,6.00,0,0,0
Gulbadin Naib,352048,2,0,20,0,10.00,1,0,0
Gareth Delany,1099379,4,0,21,2,5.25,0,0,1
Barry McCarthy,348059,4,0,21,1,5.25,0,0,1
Simi Singh,1005257,4,0,37,2,9.25,0,0,1
Josh Little,928067,4,0,33,1,8.25,4,0,1
Craig Young,364343,4,0,29,1,7.25,0,0,1
