Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,0s,4s,6s,WD,NB,Innings
Trent Boult,277912,10,0,49,1,4.90,32,2,1,3,0,0
Matt Henry,506612,10,3,48,1,4.80,41,7,0,1,0,0
Kyle Jamieson,625960,10,2,36,1,3.60,37,2,0,2,0,0
James Neesham,355269,9,0,73,0,8.11,23,7,2,3,1,0
Mitchell Santner,502714,10,0,51,2,5.09,32,6,0,3,0,0
Daryl Mitchell,381743,1,0,8,0,8.00,3,0,1,0,0,0
Mustafizur Rahman,330902,8.3,0,62,2,7.29,20,7,0,2,0,1
Taskin Ahmed,538506,10,0,67,0,6.70,30,8,1,3,0,1
Mahedi Hasan,833087,10,1,42,2,4.20,32,2,0,1,0,1
Mohammad Saifuddin,629070,7.2,0,43,0,5.86,18,4,0,1,0,1
Mehidy Hasan Miraz,629063,10,1,38,0,3.80,32,2,0,0,0,1
Mohammad Mithun,269237,2,0,12,0,6.00,6,1,0,1,0,1
Soumya Sarkar,436677,0.3,0,7,0,14.00,0,1,0,0,0,1
