PlayType_description,Batting_Team_id,Batting_Team_name,Bowling_Team_id,Bowling_Team_name,Innings,Total_Runs_on_delivery,Commentary,Commentary_short,Score,Bowler_id,Bowler_name,Bowler_maiden,Bowler_balls,Bowler_wickets,Bowler_over,Bowler_conceded,Other_Bowler_id,Other_Bowler_name,Other_Bowler_maidens,Other_Bowler_balls,Other_Bowler_wickets,Other_Bowler_overs,Other_Bowler_conceded,Batsman_id,Batsman_name,Batsman_runs,Batsman_balls_faced,Batsman_four,Batsman_sixes,Other_Batsman_id,Other_Batsman_name,Other_Batsman_runs,Other_Batsman_balls_faced,Other_Batsman_four,Other_Batsman_sixes,Over_ball,Over_complete,Over_maiden,Over_no_Ball,Over_wide,Over_byes,Over_leg_byes,Over_number,Over_runs,Over_wickets,Dismissal_is_true,Dismissal_type,Dismissal_fielder_iskeeper,Dismissal_text,Innings_run_rate,Innings_byes,Innings_balls,Innings_no_balls,Innings_wickets,Innings_leg_byes,Innings_session,Innings_day,Innings_wides,Innings_runs
run,6,India,5,New Zealand,1st innings,1,"a nice start, some swing, good length on the pads, nudged down to fine leg for a run.","Boult to Sharma, 1 run",1/0,277912,Trent Boult,0,1,0,0.1,1,False,False,0,0,0,False,0,34102,Rohit Sharma,1,1,0,0,28235,Shikhar Dhawan,0,0,0,0,1,False,0,0,0,0,0,1,7,0,False,,False,False,6.0,0,1,0,0,0,1,1,0,1
no run,6,India,5,New Zealand,1st innings,0,"beauty. Lovely swing. Full delivery outside off, the ball banana-shapes away from Dhawan, who is left with his bat hanging outside off","Boult to Dhawan, no run",1/0,277912,Trent Boult,0,2,0,0.2,1,False,False,0,0,0,False,0,28235,Shikhar Dhawan,0,1,0,0,34102,Rohit Sharma,1,1,0,0,2,False,0,0,0,0,0,1,7,0,False,,False,False,3.0,0,2,0,0,0,1,1,0,1
no run,6,India,5,New Zealand,1st innings,0,"full again, around off, Dhawan defends towards short cover, looking for one, but he defends close to Boult, who is very quick on it to prevent one","Boult to Dhawan, no run",1/0,277912,Trent Boult,0,3,0,0.3,1,False,False,0,0,0,False,0,28235,Shikhar Dhawan,0,2,0,0,34102,Rohit Sharma,1,1,0,0,3,False,0,0,0,0,0,1,7,0,False,,False,False,2.0,0,3,0,0,0,1,1,0,1
run,6,India,5,New Zealand,1st innings,2,"wild swing. Full delivery outside off, shaping away, Dhawan looks for a golf swing over mid-on, but the away shape takes the leading edge, towards third man, one bounce to the fielder.","Boult to Dhawan, 2 runs",3/0,277912,Trent Boult,0,4,0,0.4,3,False,False,0,0,0,False,0,28235,Shikhar Dhawan,2,3,0,0,34102,Rohit Sharma,1,1,0,0,4,False,0,0,0,0,0,1,7,0,False,,False,False,4.5,0,4,0,0,0,1,1,0,3
four,6,India,5,New Zealand,1st innings,4,"comes charging again, full delivery outside off, Dhawan runs down and looks to go over the off side, a better option but the ball skews off the outside half towards third man again, to Sodhi's left. He can't quite get across","Boult to Dhawan, FOUR runs",7/0,277912,Trent Boult,0,5,0,0.5,7,False,False,0,0,0,False,0,28235,Shikhar Dhawan,6,4,1,0,34102,Rohit Sharma,1,1,0,0,5,False,0,0,0,0,0,1,7,0,False,,False,False,8.4,0,5,0,0,0,1,1,0,7
no run,6,India,5,New Zealand,1st innings,0,"fine finish, on a length around off, worked away towards midwicket","Boult to Dhawan, no run",7/0,277912,Trent Boult,0,6,0,1.0,7,False,False,0,0,0,False,0,28235,Shikhar Dhawan,6,5,1,0,34102,Rohit Sharma,1,1,0,0,6,True,0,0,0,0,0,1,7,0,False,,False,False,7.0,0,6,0,0,0,1,1,0,7
no run,6,India,5,New Zealand,1st innings,0,"<b>yikes, that's a ripping cobra of a delivery</b>. Good length on middle, the ball pitches, stops and rips away from the bat. An absolute jaffa","Santner to Sharma, no run",7/0,502714,Mitchell Santner,0,1,0,0.1,0,277912,Trent Boult,0,6,0,1.0,7,34102,Rohit Sharma,1,2,0,0,28235,Shikhar Dhawan,6,5,1,0,1,False,0,0,0,0,0,2,7,0,False,,False,False,6.0,0,7,0,0,0,1,1,0,7
run,6,India,5,New Zealand,1st innings,2,"flat on off, spins away again but Rohit pulls, towards backward square leg","Santner to Sharma, 2 runs",9/0,502714,Mitchell Santner,0,2,0,0.2,2,277912,Trent Boult,0,6,0,1.0,7,34102,Rohit Sharma,3,3,0,0,28235,Shikhar Dhawan,6,5,1,0,2,False,0,0,0,0,0,2,7,0,False,,False,False,6.75,0,8,0,0,0,1,1,0,9
no run,6,India,5,New Zealand,1st innings,0,"flat and quick, following Rohit, all he can do is half-time a stab to cover. Superb defensive bowling","Santner to Sharma, no run",9/0,502714,Mitchell Santner,0,3,0,0.3,2,277912,Trent Boult,0,6,0,1.0,7,34102,Rohit Sharma,3,4,0,0,28235,Shikhar Dhawan,6,5,1,0,3,False,0,0,0,0,0,2,7,0,False,,False,False,6.0,0,9,0,0,0,1,1,0,9
four,6,India,5,New Zealand,1st innings,4,"flat and quick on middle and leg, Rohit backs away and slaps a pull down the ground, past Williamson at mid-on, who races back and makes it, but can't quite get to the ball","Santner to Sharma, FOUR runs",13/0,502714,Mitchell Santner,0,4,0,0.4,6,277912,Trent Boult,0,6,0,1.0,7,34102,Rohit Sharma,7,5,1,0,28235,Shikhar Dhawan,6,5,1,0,4,False,0,0,0,0,0,2,7,0,False,,False,False,7.8,0,10,0,0,0,1,1,0,13
no run,6,India,5,New Zealand,1st innings,0,"lovely pace, slowed this one up on off, Rohit fails to make contact with a slog sweep, bounce and spin takes the ball over the bat","Santner to Sharma, no run",13/0,502714,Mitchell Santner,0,5,0,0.5,6,277912,Trent Boult,0,6,0,1.0,7,34102,Rohit Sharma,7,6,1,0,28235,Shikhar Dhawan,6,5,1,0,5,False,0,0,0,0,0,2,7,0,False,,False,False,7.09,0,11,0,0,0,1,1,0,13
leg bye,6,India,5,New Zealand,1st innings,1,"terrific over from Santner, quick down leg, lots of spin and the ball beats Rohit's jab, hits him on the thigh pad for one leg bye to point.","Santner to Sharma, 1 leg bye",14/0,502714,Mitchell Santner,0,6,0,1.0,6,277912,Trent Boult,0,6,0,1.0,7,34102,Rohit Sharma,7,7,1,0,28235,Shikhar Dhawan,6,5,1,0,6,True,0,0,0,0,1,2,7,0,False,,False,False,7.0,0,12,0,0,1,1,1,0,14
run,6,India,5,New Zealand,1st innings,1,"the offcutter to start, superb bowling, down leg, Rohit is too early through his pull, off the arm towards the keeper","Southee to Sharma, 1 run",15/0,232364,Tim Southee,0,1,0,0.1,1,502714,Mitchell Santner,0,6,0,1.0,6,34102,Rohit Sharma,8,8,1,0,28235,Shikhar Dhawan,6,5,1,0,1,False,0,0,0,0,0,3,4,2,False,,False,False,6.92,0,13,0,0,0,1,1,0,15
out,6,India,5,New Zealand,1st innings,0,"another offcutter, and Santner takes a good catch. Full outside off, cutting away, Dhawan runs down, but doesn't get anyway close to the ball, the ball has enough room to slow down and move away from Dhawan. The ball goes up in the air, no distance. Santner runs back from point and takes a good catch, eyes on the ball till it's in his hands","Southee to Dhawan, OUT",15/1,232364,Tim Southee,0,2,1,0.2,1,502714,Mitchell Santner,0,6,0,1.0,6,28235,Shikhar Dhawan,6,6,1,0,34102,Rohit Sharma,8,8,1,0,2,False,0,0,0,0,0,3,4,2,True,caught,False,S Dhawan c Santner b Southee 6 (9m 6b 1x4 0x6) SR: 100.00,6.42,0,14,0,1,0,1,1,0,15
out,6,India,5,New Zealand,1st innings,0,"Santner takes another catch! Two in two. And this is another fine catch. Short down leg, another offcutter, Rohit is early through his pull, the ball goes in the air, flat towards Santner at deep square leg, who runs in, gets down and takes a sensational catch, with both hands low to the ground","Southee to Sharma, OUT",15/2,232364,Tim Southee,0,3,2,0.3,1,502714,Mitchell Santner,0,6,0,1.0,6,34102,Rohit Sharma,8,9,1,0,253802,Virat Kohli,0,0,0,0,3,False,0,0,0,0,0,3,4,2,True,caught,False,RG Sharma c Santner b Southee 8 (11m 9b 1x4 0x6) SR: 88.88,6.0,0,15,0,2,0,1,1,0,15
run,6,India,5,New Zealand,1st innings,1,"yet another cutter outside off, the ball spinning in, 114 kph, cut down to short third man","Southee to Kohli, 1 run",16/2,232364,Tim Southee,0,4,2,0.4,2,502714,Mitchell Santner,0,6,0,1.0,6,253802,Virat Kohli,1,1,0,0,642519,Shreyas Iyer,0,0,0,0,4,False,0,0,0,0,0,3,4,2,False,,False,False,6.0,0,16,0,2,0,1,1,0,16
run,6,India,5,New Zealand,1st innings,1,"yet another offcutter, the fifth of the over, short down leg, nudged down to fine leg","Southee to Iyer, 1 run",17/2,232364,Tim Southee,0,5,2,0.5,3,502714,Mitchell Santner,0,6,0,1.0,6,642519,Shreyas Iyer,1,1,0,0,253802,Virat Kohli,1,1,0,0,5,False,0,0,0,0,0,3,4,2,False,,False,False,6.0,0,17,0,2,0,1,1,0,17
run,6,India,5,New Zealand,1st innings,1,"another cutter, full outside off, clipped to long-on for one. Just four off the over","Southee to Kohli, 1 run",18/2,232364,Tim Southee,0,6,2,1.0,4,502714,Mitchell Santner,0,6,0,1.0,6,253802,Virat Kohli,2,2,0,0,642519,Shreyas Iyer,1,1,0,0,6,True,0,0,0,0,0,3,4,2,False,,False,False,6.0,0,18,0,2,0,1,1,0,18
