PlayType_description,Batting_Team_id,Batting_Team_name,Bowling_Team_id,Bowling_Team_name,Innings,Total_Runs_on_delivery,Commentary,Commentary_short,Score,Bowler_id,Bowler_name,Bowler_maiden,Bowler_balls,Bowler_wickets,Bowler_over,Bowler_conceded,Other_Bowler_id,Other_Bowler_name,Other_Bowler_maidens,Other_Bowler_balls,Other_Bowler_wickets,Other_Bowler_overs,Other_Bowler_conceded,Batsman_id,Batsman_name,Batsman_runs,Batsman_balls_faced,Batsman_four,Batsman_sixes,Other_Batsman_id,Other_Batsman_name,Other_Batsman_runs,Other_Batsman_balls_faced,Other_Batsman_four,Other_Batsman_sixes,Over_ball,Over_complete,Over_maiden,Over_no_Ball,Over_wide,Over_byes,Over_leg_byes,Over_number,Over_runs,Over_wickets,Dismissal_is_true,Dismissal_type,Dismissal_fielder_iskeeper,Dismissal_text,Innings_run_rate,Innings_byes,Innings_balls,Innings_no_balls,Innings_wickets,Innings_leg_byes,Innings_session,Innings_day,Innings_wides,Innings_runs
no run,7,Pakistan,5,New Zealand,1st innings,0,"<b>skids on</b> and strikes him on the pad. Rizwan, backing away to access the off side, is badly cramped and takes it on the thigh.","Santner to Mohammad Rizwan, no run",0/0,502714,Mitchell Santner,0,1,0,0.1,0,False,False,0,0,0,False,0,323389,Mohammad Rizwan,0,1,0,0,922941,Abdullah Shafique,0,0,0,0,1,False,0,0,0,0,0,1,7,0,False,,False,False,0.0,0,1,0,0,0,1,1,0,0
four,7,Pakistan,5,New Zealand,1st innings,4,"<b>so close to being bowled</b>! Again, it's Santner targeting the stumps, sliding the ball through with the arm with the seam bolt upright. So clearly he doesn't want it to spin, but maybe swing a bit. Rizwan is out with another make-room cut shot and gets an inside edge for four to fine leg","Santner to Mohammad Rizwan, FOUR runs",4/0,502714,Mitchell Santner,0,2,0,0.2,4,False,False,0,0,0,False,0,323389,Mohammad Rizwan,4,2,1,0,922941,Abdullah Shafique,0,0,0,0,2,False,0,0,0,0,0,1,7,0,False,,False,False,12.0,0,2,0,0,0,1,1,0,4
run,7,Pakistan,5,New Zealand,1st innings,2,"touch slower through the air, and short enough for Rizwan to rock back and pull to deep midwicket","Santner to Mohammad Rizwan, 2 runs",6/0,502714,Mitchell Santner,0,3,0,0.3,6,False,False,0,0,0,False,0,323389,Mohammad Rizwan,6,3,1,0,922941,Abdullah Shafique,0,0,0,0,3,False,0,0,0,0,0,1,7,0,False,,False,False,12.0,0,3,0,0,0,1,1,0,6
no run,7,Pakistan,5,New Zealand,1st innings,0,"rapid delivery targeting the top of off stump, Rizwan is ready for it this time, as he cuts into the covers, with a straighter bat","Santner to Mohammad Rizwan, no run",6/0,502714,Mitchell Santner,0,4,0,0.4,6,False,False,0,0,0,False,0,323389,Mohammad Rizwan,6,4,1,0,922941,Abdullah Shafique,0,0,0,0,4,False,0,0,0,0,0,1,7,0,False,,False,False,9.0,0,4,0,0,0,1,1,0,6
no run,7,Pakistan,5,New Zealand,1st innings,0,"<b>hint of turn</b> on the full ball which Rizwan adjusts to very well, opening the face of the bat and blocking it towards point","Santner to Mohammad Rizwan, no run",6/0,502714,Mitchell Santner,0,5,0,0.5,6,False,False,0,0,0,False,0,323389,Mohammad Rizwan,6,5,1,0,922941,Abdullah Shafique,0,0,0,0,5,False,0,0,0,0,0,1,7,0,False,,False,False,7.2,0,5,0,0,0,1,1,0,6
run,7,Pakistan,5,New Zealand,1st innings,1,carts a short ball on middle and leg away to deep square leg,"Santner to Mohammad Rizwan, 1 run",7/0,502714,Mitchell Santner,0,6,0,1.0,7,False,False,0,0,0,False,0,323389,Mohammad Rizwan,7,6,1,0,922941,Abdullah Shafique,0,0,0,0,6,True,0,0,0,0,0,1,7,0,False,,False,False,7.0,0,6,0,0,0,1,1,0,7
no run,7,Pakistan,5,New Zealand,1st innings,0,"<b>flies to his left, looking to grab a one-handed stunner</b> but it just evades him! A firmly struck drive from Rizwan beats the bowler's athletic effort and goes to mid-off","Duffy to Mohammad Rizwan, no run",7/0,547766,Jacob Duffy,0,1,0,0.1,0,502714,Mitchell Santner,0,6,0,1.0,7,323389,Mohammad Rizwan,7,7,1,0,922941,Abdullah Shafique,0,0,0,0,1,False,0,0,0,0,0,2,5,1,False,,False,False,6.0,0,7,0,0,0,1,1,0,7
run,7,Pakistan,5,New Zealand,1st innings,1,cuts the back of a length ball outside off behind point,"Duffy to Mohammad Rizwan, 1 run",8/0,547766,Jacob Duffy,0,2,0,0.2,1,502714,Mitchell Santner,0,6,0,1.0,7,323389,Mohammad Rizwan,8,8,1,0,922941,Abdullah Shafique,0,0,0,0,2,False,0,0,0,0,0,2,5,1,False,,False,False,6.0,0,8,0,0,0,1,1,0,8
no run,7,Pakistan,5,New Zealand,1st innings,0,"<b>beats the edge</b>. This is what Duffy is known for. Hitting the deck and getting movement. Eden Park is normally bouncy so it looks really good, flying past Shafiq and through to the keeper","Duffy to Abdullah Shafique, no run",8/0,547766,Jacob Duffy,0,3,0,0.3,1,502714,Mitchell Santner,0,6,0,1.0,7,922941,Abdullah Shafique,0,1,0,0,323389,Mohammad Rizwan,8,8,1,0,3,False,0,0,0,0,0,2,5,1,False,,False,False,5.33,0,9,0,0,0,1,1,0,8
out,7,Pakistan,5,New Zealand,1st innings,0,"<b>taken at mid-on! Duffy strikes in his first over!</b>. Comes off the pitch just a little slower than he expects, but just the tiniest bit of extra bounce! And as a result, the flick shot, that he means to hit more or less along the ground through midwicket, pops up in the air much much straighter. Great start for the rookie!","Duffy to Abdullah Shafique, OUT",8/1,547766,Jacob Duffy,0,4,1,0.4,1,502714,Mitchell Santner,0,6,0,1.0,7,922941,Abdullah Shafique,0,2,0,0,323389,Mohammad Rizwan,8,8,1,0,4,False,0,0,0,0,0,2,5,1,True,caught,False,Abdullah Shafique c Chapman b Duffy 0 (5m 2b 0x4 0x6) SR: 0.00,4.8,0,10,0,1,0,1,1,0,8
